Periodo;Numero;Concepto;Valor liquidacion;Objeto;Asignacion;Dedicacion;Vinculacion
Febrero;497-007;TECNOLOGICA - OCASIONAL MEDIO TIEMPO;1474287;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES FEBRERO DE 2026;TECNOLOGICA;MEDIO TIEMPO;OCASIONAL
Febrero;497-007;PREGRADO - OCASIONAL TIEMPO COMPLETO;5303301475;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES FEBRERO DE 2026;PREGRADO;TIEMPO COMPLETO;OCASIONAL
Febrero;497-007;PREGRADO - OCASIONAL MEDIO TIEMPO;193157838;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES FEBRERO DE 2026;PREGRADO;MEDIO TIEMPO;OCASIONAL
Febrero;497-008;POSGRADO - CATEDRA;84151326;LIQUIDACION DE NOMINA TEMPORAL CATEDRATICOS POSGRADO EXTERNOS FEBRERO DE 2026;POSGRADO;HORA CATEDRA;CATEDRA POSGRADO
Febrero;497-009;TECNICA - CATEDRA;33710415;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS FEBRERO DE 2026;TECNICA;HORA CATEDRA;CATEDRA
Febrero;497-009;TECNOLOGICA - CATEDRA;33000566;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS FEBRERO DE 2026;TECNOLOGICA;HORA CATEDRA;CATEDRA
Febrero;497-009;PREGRADO - CATEDRA;379388273;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS FEBRERO DE 2026;PREGRADO;HORA CATEDRA;CATEDRA
Marzo;492-004;PERMANENTE - (PLANTA);3925798768;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - MARZO 2026;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO
Marzo;492-004;TECNICA - PLANTA TIEMPO COMPLETO;2504096;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - MARZO 2026;TECNICA;TIEMPO COMPLETO;PLANTA
Marzo;492-004;TECNOLOGICA - PLANTA TIEMPO COMPLETO;88738500;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - MARZO 2026;TECNOLOGICA;TIEMPO COMPLETO;PLANTA
Marzo;492-004;PREGRADO - PLANTA TIEMPO COMPLETO;6399680616;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - MARZO 2026;PREGRADO;TIEMPO COMPLETO;PLANTA
Marzo;492-004;PREGRADO - PLANTA MEDIO TIEMPO;23928535;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - MARZO 2026;PREGRADO;MEDIO TIEMPO;PLANTA
Marzo;492-004;POSGRADO - PLANTA TIEMPO COMPLETO;95512146;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - MARZO 2026;POSGRADO;TIEMPO COMPLETO;PLANTA
Marzo;497-010;TEMPORAL (SUPERNUMERARIO);100563371;LIQUIDACION DE NOMINA TEMPORAL SUPERNUMERARIOS MARZO DE 2026;ADMINISTRATIVO;ADMINISTRATIVO;SUPERNUMERARIO
Marzo;497-011;TECNICA - CATEDRA;53391125;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS MARZO DE 2026;TECNICA;HORA CATEDRA;CATEDRA
Marzo;497-011;TECNOLOGICA - CATEDRA;53301726;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS MARZO DE 2026;TECNOLOGICA;HORA CATEDRA;CATEDRA
Marzo;497-011;PREGRADO - CATEDRA;655210661;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS MARZO DE 2026;PREGRADO;HORA CATEDRA;CATEDRA
Marzo;497-012;TECNICA - OCASIONAL TIEMPO COMPLETO;166634644;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES MARZO DE 2026;TECNICA;TIEMPO COMPLETO;OCASIONAL
Marzo;497-012;TECNOLOGICA - OCASIONAL TIEMPO COMPLETO;355201292;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES MARZO DE 2026;TECNOLOGICA;TIEMPO COMPLETO;OCASIONAL
Marzo;497-012;TECNOLOGICA - OCASIONAL MEDIO TIEMPO;2211430;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES MARZO DE 2026;TECNOLOGICA;MEDIO TIEMPO;OCASIONAL
Marzo;497-012;PREGRADO - OCASIONAL TIEMPO COMPLETO;6211768836;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES MARZO DE 2026;PREGRADO;TIEMPO COMPLETO;OCASIONAL
Marzo;497-012;PREGRADO - OCASIONAL MEDIO TIEMPO;229976168;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES MARZO DE 2026;PREGRADO;MEDIO TIEMPO;OCASIONAL
Marzo;497-013;PREGRADO - CATEDRA;279475;LIQUIDACION DE NOMINA TEMPORAL CATEDRATICOS POSGRADO EXTERNOS MARZO DE 2026;PREGRADO;HORA CATEDRA;CATEDRA
Marzo;497-013;POSGRADO - CATEDRA;1443959446;LIQUIDACION DE NOMINA TEMPORAL CATEDRATICOS POSGRADO EXTERNOS MARZO DE 2026;POSGRADO;HORA CATEDRA;CATEDRA POSGRADO
Abril;492-005;PERMANENTE - (PLANTA);5277165788;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - ABRIL 2026;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO
Abril;492-005;TECNICA - PLANTA TIEMPO COMPLETO;1515136;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - ABRIL 2026;TECNICA;TIEMPO COMPLETO;PLANTA
