FACULTAD;PROGRAMA;SEDE;MODALIDAD;TIPO INSCRIPCION;Número de CUOTAS;SEXO;Número de Estudiantes;VALOR MATRICULA BRUTA;VALOR MATRICULA NETA
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS VETERINARIAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;5;53808300;29594565
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS VETERINARIAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;1;10761660;5380830
CIENCIAS AGROPECUARIAS;MAESTRÍA EN DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;13528944;10569487
CIENCIAS AGROPECUARIAS;MAESTRÍA EN DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;2;16911180;10992267
CIENCIAS AGROPECUARIAS;MAESTRÍA EN DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;4;33822360;19025077
CIENCIAS AGROPECUARIAS;MAESTRÍA EN DESARROLLO RURAL;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;1;8455590;6764472
CIENCIAS AGROPECUARIAS;MAESTRÍA EN DESARROLLO RURAL;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;1;8455590;3382236
CIENCIAS AGROPECUARIAS;MAESTRÍA EN FISIOLOGIA VEGETAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;3;32284980;2451269
CIENCIAS AGROPECUARIAS;MAESTRÍA EN FISIOLOGIA VEGETAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;1;10761660;875453
CIENCIAS DE LA EDUCACION;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;5;49657374;38895714
CIENCIAS DE LA EDUCACION;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;8;91320372;71949384
CIENCIAS DE LA EDUCACION;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;18;203010770;143091384
CIENCIAS DE LA EDUCACION;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;14;169152005;104787268
CIENCIAS DE LA EDUCACION;DOCTORADO EN GEOGRAFÍA;SANTA FE DE BOGOTA;Presencial;INSCRIPCIÓN REGULAR;2;M;4;67644720;56652453
CIENCIAS DE LA EDUCACION;DOCTORADO EN GEOGRAFÍA;SANTA FE DE BOGOTA;Presencial;INSCRIPCIÓN REGULAR;1;F;7;103503720;50233503
CIENCIAS DE LA EDUCACION;DOCTORADO EN GEOGRAFÍA;SANTA FE DE BOGOTA;Presencial;INSCRIPCIÓN REGULAR;1;M;4;67644720;35513478
CIENCIAS DE LA EDUCACION;DOCTORADO EN HISTORIA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;4;58074400;24252040
CIENCIAS DE LA EDUCACION;DOCTORADO EN HISTORIA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;14;223688790;78406380
CIENCIAS DE LA EDUCACION;DOCTORADO EN LENGUAJE Y CULTURA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;4;49196160;43046640
CIENCIAS DE LA EDUCACION;DOCTORADO EN LENGUAJE Y CULTURA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;3;36897120;30132648
CIENCIAS DE LA EDUCACION;DOCTORADO EN LENGUAJE Y CULTURA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;9;110691360;49196160
CIENCIAS DE LA EDUCACION;DOCTORADO EN LENGUAJE Y CULTURA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;6;73794240;36282168
CIENCIAS DE LA EDUCACION;DOCTORADO EN PEDAGOGÍA Y DIDÁCTICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;14;162347328;130942076
