Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
2025;15 - SEDE REGIONAL AGUAZUL;1.1.02.03.001.05;20;Sanciones administrativas;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 79,800.00;$ 690,600.00;$ 182,200.00;$ 0.00;$ 0.00;$ 0.00;$ 58,800.00;$ 76,500.00
2025;09 - INGENIERIA;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 156,890.00;$ 0.00;$ 442,869.00;$ 0.00;$ 0.00;$ 0.00
2025;15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 524,000.00
2025;11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 427,000.00;$ 0.00
2025;11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 37,100.00;$ 37,100.00;$ 111,300.00;$ 37,100.00;$ 0.00;$ 37,100.00;$ 74,200.00;$ 0.00
2025;06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 284,726.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2025;14 - SECCIONAL CHIQUINQUIRA;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 256,250.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2025;05 - CIENCIAS BASICAS;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 203,805.00;$ 0.00;$ 0.00;$ 0.00
2025;14 - SECCIONAL CHIQUINQUIRA;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 142,350.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2025;13 - SECCIONAL SOGAMOSO;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 47,450.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
